bill_id,people_id,position
437674,10957,1
437675,1511,2
437675,1533,5
437675,1550,7
437675,10966,4
437675,11614,1
437675,13078,3
437675,14125,8
437675,16221,6
437676,14093,1
437677,1494,1
437677,1516,4
437677,1555,3
437677,1561,5
437677,10957,2
437678,1494,1
437679,10966,1
437680,10972,1
437681,1561,2
437681,1597,3
437681,10971,1
437681,11921,6
437681,14095,4
437681,14104,5
437682,14107,1
437683,1554,2
437683,1602,3
437683,10957,1
437684,1543,1
437685,14098,1
437686,1495,8
437686,1502,4
437686,1511,1
437686,1525,10
437686,1528,11
437686,1541,14
437686,1579,9
437686,1588,13
437686,1608,16
437686,11611,5
437686,11612,12
437686,14097,2
437686,14114,6
437686,14118,3
437686,14125,7
437686,14134,15
437687,1544,1
437688,1504,1
437689,1554,1
437689,10957,2
437690,1544,3
437690,10957,2
437690,10971,4
437690,10973,5
437690,11612,1
437691,10970,1
437692,14122,1
437693,1495,3
437693,1502,4
437693,1525,5
437693,1541,6
437693,14123,1
437693,14125,2
437694,1555,2
437694,10957,1
437694,10971,4
437694,17428,3
437695,1503,1
437696,1495,12
437696,1500,13
437696,1533,5
437696,1550,6
437696,1552,14
437696,1608,15
437696,10964,1
437696,11232,7
437696,11611,4
437696,11616,9
437696,13078,3
437696,14091,2
437696,14117,8
437696,14123,10
437696,14125,11
437697,1506,1
437697,1561,2
437697,1578,3
437697,1582,4
437697,1610,5
437698,11610,1
437699,10960,1
437699,11612,2
437700,14111,3
437700,14113,1
437700,14134,2
437701,1532,6
437701,1555,1
437701,10957,2
437701,10971,10
437701,11920,7
437701,14095,3
437701,14100,4
437701,14102,5
437701,14107,8
437701,14116,9
437701,14118,11
437701,14124,13
437701,17428,12
437702,10973,1
437703,10971,1
437704,10970,1
437705,1554,1
437706,1498,4
437706,10971,1
437706,10972,3
437706,14115,2
437707,1494,3
437707,1548,10
437707,1555,5
437707,10957,2
437707,10971,4
437707,11612,8
437707,11920,1
437707,14122,7
437707,14130,9
437707,17428,6
437708,11920,1
437709,14099,1
437710,10971,1
437711,1554,1
437712,1561,1
437712,1582,3
437712,1610,2
437713,11613,1
437714,1506,1
437715,10971,1
437715,14106,2
437716,14093,1
437717,10964,1
437718,14113,1
437719,9547,1
437720,1494,10
437720,1503,14
437720,1504,18
437720,1506,20
437720,1510,24
437720,1511,25
437720,1516,77
437720,1523,32
437720,1531,41
437720,1532,42
437720,1543,48
437720,1550,56
437720,1554,61
437720,1555,62
437720,1561,67
437720,1567,70
437720,1571,76
437720,1591,78
437720,9547,1
437720,10957,8
437720,10958,9
437720,10959,11
437720,10960,16
437720,10963,29
437720,10964,30
437720,10965,37
437720,10966,38
437720,10969,52
437720,10970,58
437720,10971,60
437720,10972,74
437720,10973,75
437720,11232,57
437720,11609,2
437720,11610,21
437720,11611,40
437720,11613,50
437720,11614,53
437720,11616,71
437720,11920,43
437720,13078,35
437720,14091,12
437720,14092,13
437720,14093,15
437720,14094,17
437720,14095,19
437720,14096,22
437720,14097,23
437720,14098,26
437720,14099,27
437720,14100,28
437720,14101,31
437720,14102,33
437720,14103,34
437720,14104,5
437720,14105,36
437720,14106,39
437720,14107,6
437720,14108,4
437720,14109,45
437720,14110,46
437720,14111,47
437720,14112,49
437720,14113,51
437720,14115,54
437720,14116,55
437720,14117,59
437720,14118,64
437720,14119,63
437720,14120,65
437720,14121,68
437720,14122,69
437720,14123,72
437720,14124,73
437720,14125,7
437720,14219,3
437720,16221,44
437720,17428,66
437721,1494,2
437721,1498,60
437721,1503,26
437721,1504,29
437721,1506,31
437721,1510,6
437721,1511,35
437721,1516,64
437721,1523,9
437721,1542,67
437721,1544,45
437721,1550,49
437721,1554,53
437721,1555,17
437721,1561,56
437721,1567,58
437721,1571,23
437721,1578,62
437721,1579,63
437721,1596,68
437721,1602,69
437721,1609,70
437721,1610,65
437721,9547,40
437721,10957,1
437721,10959,3
437721,10960,28
437721,10963,7
437721,10965,11
437721,10966,12
437721,10968,66
437721,10969,46
437721,10970,51
437721,10971,52
437721,10972,21
437721,10973,22
437721,11232,50
437721,11609,24
437721,11610,5
437721,11920,13
437721,11921,61
437721,14092,25
437721,14093,27
437721,14094,4
437721,14095,30
437721,14096,33
437721,14097,34
437721,14098,36
437721,14100,37
437721,14101,8
437721,14102,38
437721,14103,39
437721,14104,10
437721,14105,41
437721,14106,42
437721,14108,32
437721,14109,43
437721,14110,14
437721,14111,44
437721,14113,15
437721,14115,47
437721,14116,16
437721,14118,54
437721,14119,18
437721,14120,19
437721,14121,57
437721,14122,20
437721,14124,59
437721,14219,48
437721,17428,55
437722,1561,1
437723,1554,1
437724,1561,1
437725,1550,1
437726,1582,2
437726,1602,1
437727,1542,1
437727,1609,2
437728,1542,2
437728,1609,1
437728,10970,3
437728,14122,4
437729,1516,4
437729,1548,5
437729,1590,2
437729,1597,1
437729,10957,6
437729,10973,12
437729,14092,7
437729,14106,3
437729,14110,8
437729,14116,9
437729,14121,11
437729,14219,10
437730,1502,2
437730,1596,1
437731,1542,1
437732,1602,1
437732,11921,2
437733,1494,8
437733,1495,2
437733,1525,5
437733,1579,4
437733,1588,6
437733,1609,1
437733,10957,7
437733,11921,3
437733,14097,9
437733,14102,10
437734,1598,1
437735,1596,1
437736,1536,3
437736,1597,1
437736,10971,4
437736,11921,2
437736,14130,5
437737,1578,1
437738,1498,1
437739,1527,1
437740,1596,1
437740,14130,2
437741,1527,1
437742,1495,6
437742,1500,7
437742,1525,9
437742,1527,1
437742,1533,14
437742,1541,11
437742,1552,2
437742,1588,10
437742,1608,12
437742,10964,13
437742,11232,15
437742,11921,8
437742,13078,5
437742,14091,3
437742,14099,4
437742,14117,16
437742,14125,17
437743,1535,2
437743,1590,1
437744,1541,1
437745,1535,1
437746,1579,3
437746,11612,4
437746,14113,2
437746,14134,1
437747,1494,6
437747,1498,1
437747,1510,7
437747,1516,3
437747,1579,2
437747,1582,4
437747,1609,5
437748,10968,1
437749,1604,1
437750,1602,1
437751,1579,1
437752,1579,1
437752,1597,3
437752,10965,2
437753,1535,1
437753,1602,2
437754,1523,3
437754,1544,4
437754,1579,1
437754,1602,2
437754,14115,5
437755,1495,2
437755,1502,3
437755,1520,5
437755,1525,6
437755,1533,9
437755,1542,7
437755,1575,1
437755,1579,4
437755,1598,8
437756,1504,11
437756,1527,4
437756,1532,15
437756,1579,3
437756,1588,5
437756,1596,1
437756,1598,7
437756,1602,2
437756,1604,8
437756,1608,9
437756,10968,6
437756,11616,20
437756,14093,10
437756,14104,13
437756,14105,14
437756,14107,16
437756,14108,12
437756,14109,17
437756,14110,18
437756,14120,19
437756,14125,21
437757,1598,1
437758,1510,2
437758,1606,1
437759,1575,1
437760,1597,1
437760,14107,2
437761,11612,1
437762,1516,1
437762,14101,2
437762,14116,3
437763,1596,1
437764,1516,1
437764,1554,2
