bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
437674,670297,text,11384,text/html,Introduced,https://legiscan.com/CA/text/AB1/id/670297,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_1_bill_20121203_introduced.html
437674,811460,text,11940,text/html,Amended,https://legiscan.com/CA/text/AB1/id/811460,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_1_bill_20130403_amended_asm_v98.html
437675,670298,text,6076,text/html,Introduced,https://legiscan.com/CA/text/AB2/id/670298,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_2_bill_20121203_introduced.html
437675,821257,text,6681,text/html,Amended,https://legiscan.com/CA/text/AB2/id/821257,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_2_bill_20130415_amended_asm_v98.html
437676,670299,text,1268,text/html,Introduced,https://legiscan.com/CA/text/AB3/id/670299,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_3_bill_20121203_introduced.html
437677,670300,text,7464,text/html,Introduced,https://legiscan.com/CA/text/AB4/id/670300,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_4_bill_20121203_introduced.html
437677,864624,text,9491,text/html,Amended,https://legiscan.com/CA/text/AB4/id/864624,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_4_bill_20130614_amended_sen_v98.html
437677,868469,text,16384,text/html,Amended,https://legiscan.com/CA/text/AB4/id/868469,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_4_bill_20130624_amended_sen_v97.html
437677,884250,text,13889,text/html,Amended,https://legiscan.com/CA/text/AB4/id/884250,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_4_bill_20130904_amended_sen_v96.html
437677,885660,text,13829,text/html,Enrolled,https://legiscan.com/CA/text/AB4/id/885660,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_4_bill_20130916_enrolled.html
437677,895054,text,13931,text/html,Chaptered,https://legiscan.com/CA/text/AB4/id/895054,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_4_bill_20131005_chaptered.html
437678,670301,text,119967,text/html,Introduced,https://legiscan.com/CA/text/AB5/id/670301,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_5_bill_20121203_introduced.html
437678,814398,text,140456,text/html,Amended,https://legiscan.com/CA/text/AB5/id/814398,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_5_bill_20130408_amended_asm_v98.html
437678,834907,text,42171,text/html,Amended,https://legiscan.com/CA/text/AB5/id/834907,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_5_bill_20130430_amended_asm_v97.html
437679,670302,text,6731,text/html,Introduced,https://legiscan.com/CA/text/AB6/id/670302,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_6_bill_20121203_introduced.html
437679,800543,text,10658,text/html,Amended,https://legiscan.com/CA/text/AB6/id/800543,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_6_bill_20130321_amended_asm_v98.html
437680,670303,text,24194,text/html,Introduced,https://legiscan.com/CA/text/AB7/id/670303,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_7_bill_20121203_introduced.html
437680,814069,text,44173,text/html,Amended,https://legiscan.com/CA/text/AB7/id/814069,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_7_bill_20130408_amended_asm_v98.html
437680,834938,text,30276,text/html,Amended,https://legiscan.com/CA/text/AB7/id/834938,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_7_bill_20130430_amended_asm_v97.html
437680,856516,text,36282,text/html,Amended,https://legiscan.com/CA/text/AB7/id/856516,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_7_bill_20130528_amended_asm_v96.html
437680,858921,text,27390,text/html,Amended,https://legiscan.com/CA/text/AB7/id/858921,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_7_bill_20130531_amended_asm_v95.html
437680,862797,text,27839,text/html,Amended,https://legiscan.com/CA/text/AB7/id/862797,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_7_bill_20130610_amended_asm_v94.html
437681,670304,text,121559,text/html,Introduced,https://legiscan.com/CA/text/AB8/id/670304,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_8_bill_20121203_introduced.html
437681,844353,text,121611,text/html,Amended,https://legiscan.com/CA/text/AB8/id/844353,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_8_bill_20130513_amended_asm_v98.html
437681,881928,text,156518,text/html,Amended,https://legiscan.com/CA/text/AB8/id/881928,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_8_bill_20130812_amended_sen_v97.html
437681,884001,text,140560,text/html,Amended,https://legiscan.com/CA/text/AB8/id/884001,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_8_bill_20130903_amended_sen_v96.html
437681,884454,text,145803,text/html,Amended,https://legiscan.com/CA/text/AB8/id/884454,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_8_bill_20130906_amended_sen_v95.html
437681,885949,text,142926,text/html,Enrolled,https://legiscan.com/CA/text/AB8/id/885949,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_8_bill_20130918_enrolled.html
437681,893011,text,143034,text/html,Chaptered,https://legiscan.com/CA/text/AB8/id/893011,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_8_bill_20130928_chaptered.html
437682,670305,text,1450,text/html,Introduced,https://legiscan.com/CA/text/AB9/id/670305,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_9_bill_20121203_introduced.html
437682,794301,text,44347,text/html,Amended,https://legiscan.com/CA/text/AB9/id/794301,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_9_bill_20130319_amended_asm_v98.html
437683,670306,text,4243,text/html,Introduced,https://legiscan.com/CA/text/AB10/id/670306,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_10_bill_20121203_introduced.html
437683,866233,text,4681,text/html,Amended,https://legiscan.com/CA/text/AB10/id/866233,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_10_bill_20130619_amended_sen_v98.html
437683,885085,text,2407,text/html,Amended,https://legiscan.com/CA/text/AB10/id/885085,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_10_bill_20130911_amended_sen_v97.html
437683,885636,text,1344,text/html,Enrolled,https://legiscan.com/CA/text/AB10/id/885636,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_10_bill_20130916_enrolled.html
437683,890697,text,1452,text/html,Chaptered,https://legiscan.com/CA/text/AB10/id/890697,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_10_bill_20130925_chaptered.html
437684,670307,text,2599,text/html,Introduced,https://legiscan.com/CA/text/AB11/id/670307,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_11_bill_20121203_introduced.html
477260,720645,text,107849,text/html,Introduced,https://legiscan.com/CA/text/ABX11/id/720645,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/abx1_1_bill_20130128_introduced.html
437684,721376,text,2695,text/html,Amended,https://legiscan.com/CA/text/AB11/id/721376,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_11_bill_20130128_amended_asm_v98.html
477260,860539,text,201636,text/html,Amended,https://legiscan.com/CA/text/ABX11/id/860539,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/abx1_1_bill_20130604_amended_sen_v98.html
477260,864627,text,257526,text/html,Amended,https://legiscan.com/CA/text/ABX11/id/864627,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/abx1_1_bill_20130614_amended_sen_v97.html
477260,870177,text,140511,text/html,Enrolled,https://legiscan.com/CA/text/ABX11/id/870177,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/abx1_1_bill_20130618_enrolled.html
437684,881658,text,2484,text/html,Enrolled,https://legiscan.com/CA/text/AB11/id/881658,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_11_bill_20130808_enrolled.html
477260,870178,text,140607,text/html,Chaptered,https://legiscan.com/CA/text/ABX11/id/870178,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/abx1_1_bill_20130627_chaptered.html
437684,882792,text,2586,text/html,Chaptered,https://legiscan.com/CA/text/AB11/id/882792,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_11_bill_20130819_chaptered.html
437685,670308,text,3788,text/html,Introduced,https://legiscan.com/CA/text/AB12/id/670308,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/ab_12_bill_20121203_introduced.html
479110,720642,text,233504,text/html,Introduced,https://legiscan.com/CA/text/ABX12/id/720642,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/abx1_2_bill_20130129_introduced.html
479110,779016,text,237370,text/html,Amended,https://legiscan.com/CA/text/ABX12/id/779016,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/abx1_2_bill_20130307_amended_sen_v98.html
479110,798973,text,122579,text/html,Amended,https://legiscan.com/CA/text/ABX12/id/798973,http://www.leginfo.ca.gov/pub/13-14/bill/asm/ab_0001-0050/abx1_2_bill_20130321_amended_sen_v97.html
