bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
437674,232344,2013-02-12,Assembly,"Do pass and be re-referred to the Committee on Appropriations",6,0,0,1,7
437675,247881,2013-03-12,Assembly,"Do pass and be re-referred to the Committee on Appropriations",2,4,0,1,7
437675,257390,2013-04-02,Assembly,"Reconsideration granted",6,0,0,1,7
437675,303931,2013-04-02,Assembly,"Reconsideration granted",6,0,0,1,7
437677,261702,2013-04-09,Assembly,"Do pass",5,2,0,0,7
437677,280264,2013-05-16,Assembly,"AB4 AMMIANO  Assembly Third Reading",44,22,0,13,79
437677,295825,2013-07-02,Senate,"Do pass",5,2,0,0,7
437677,298922,2013-09-09,Senate,"Assembly 3rd Reading AB4 Ammiano By De Le",25,11,3,0,39
437677,299126,2013-09-10,Assembly,"AB4 AMMIANO  Concurrence in Senate Amendments",48,25,0,5,78
437678,270715,2013-04-23,Assembly,"Do pass as amended and be re-referred to the Committee on 	Appropriations",7,3,0,0,10
437680,266380,2013-04-15,Assembly,"Do pass as amended and be re-referred to the Committee on 	Appropriations",7,0,0,2,9
437680,283795,2013-05-24,Assembly,"Do pass as amended",16,0,0,1,17
437680,288724,2013-06-12,Assembly,"Do pass",3,0,0,6,9
437680,288725,2013-06-12,Assembly,"Set first hearing.  Failed passage.  Reconsideration granted",8,0,0,1,9
437680,291523,2013-06-24,Assembly,"Do pass",5,2,0,2,9
437680,292153,2013-06-27,Assembly,"AB7 WIECKOWSKI  Assembly Third Reading",24,17,0,38,79
437681,261679,2013-04-08,Assembly,"Do pass and be re-referred to the Committee on Natural Resources",10,3,0,3,16
437681,276255,2013-05-06,Assembly,"Do pass as amended and be re-referred to the Committee on 	Appropriations",6,2,0,1,9
437681,283828,2013-05-24,Assembly,"Do pass",11,3,0,3,17
437681,292145,2013-06-27,Assembly,"AB8 PEREA  Third Reading Urgency",54,20,0,5,79
437681,297811,2013-08-20,Senate,"Do pass, but re-refer to the Committee on Environmental Quality",9,2,0,0,11
437681,297850,2013-08-21,Senate,"Do pass, but re-refer to the Committee on Appropriations",8,1,0,0,9
437681,297991,2013-08-26,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
437681,298270,2013-08-30,Senate,"Do pass as amended",5,2,0,0,7
437681,299445,2013-09-11,Assembly,"AB8 PEREA  Concurrence in Senate Amendments",54,19,0,5,78
437681,299446,2013-09-11,Senate,"Assembly 3rd Reading AB8 Perea Urgency Clause",29,6,4,0,39
437683,272311,2013-04-24,Assembly,"Do pass and be re-referred to the Committee on Appropriations",5,2,0,0,7
437683,283771,2013-05-24,Assembly,"Do pass",12,5,0,0,17
437683,285527,2013-05-30,Assembly,"AB 10 ALEJO  Assembly Third Reading",45,27,0,7,79
437683,291882,2013-06-26,Senate,"Do pass, but re-refer to the Committee on Appropriations",3,1,1,0,5
437683,297271,2013-08-12,Senate,"Placed on Appropriations Suspense file",6,0,1,0,7
437683,298246,2013-08-30,Senate,"Do pass, but re-refer to the Committee on Rules",5,2,0,0,7
437683,299624,2013-09-12,Senate,"Assembly 3rd Supp 2 AB10 Alejo By Monning",26,11,2,0,39
437683,299625,2013-09-12,Assembly,"AB 10 ALEJO  Concurrence in Senate Amendments",52,25,0,1,78
437684,251821,2013-03-20,Assembly,"Do pass and re-refer to Committee on Appropriations with 	recommendation:  To Consent Calendar",7,0,0,0,7
437684,262718,2013-04-10,Assembly,"Do pass, to Consent Calendar",17,0,0,0,17
437684,268737,2013-04-18,Assembly,"AB 11 LOGUE  Consent Calendar Second Day  Regular Session",76,0,0,3,79
437684,288636,2013-06-12,Senate,"Do pass, but re-refer to the Committee on Appropriations",4,0,1,0,5
437684,296239,2013-07-08,Senate,"Assembly 3rd Reading AB11 Logue By Gaines",31,1,6,0,38
437685,259010,2013-04-03,Assembly,"Do pass as amended and be re-referred to the Committee on 	Appropriations",13,0,0,0,13
437685,284062,2013-05-24,Assembly,"Do pass as amended",17,0,0,0,17
437685,285112,2013-05-29,Assembly,"AB 12 COOLEY  Assembly Third Reading",77,0,0,2,79
437685,291715,2013-06-25,Senate,"Do pass, but re-refer to the Committee on Environmental Quality 	Recommend Consent",11,0,0,0,11
437685,296128,2013-07-03,Senate,"Do pass, but re-refer to the Committee on Appropriations Recommend 	Consent",7,0,2,0,9
437685,296129,2013-07-03,Senate,"Set, first hearing.  Held in Committee.  Reconsideration of 	favorable vote granted",8,0,1,0,9
437685,296130,2013-07-03,Senate,"Do pass, but re-refer to the Committee on Appropriations",9,0,0,0,9
437685,297417,2013-08-12,Senate,"Placed on Appropriations Suspense file",6,0,1,0,7
437685,298359,2013-08-30,Senate,"Do pass",7,0,0,0,7
437685,299042,2013-09-09,Senate,"Assembly 3rd Reading AB12 Cooley By Calderon",39,0,0,0,39
437686,250857,2013-03-19,Assembly,"Do pass and be re-referred to the Committee on Veterans Affairs",13,0,0,0,13
437686,267344,2013-04-16,Assembly,"Do pass and be re-referred to the Committee on Appropriations",10,0,0,0,10
437686,283789,2013-05-24,Assembly,"Do pass",17,0,0,0,17
437686,284668,2013-05-28,Assembly,"AB 13 CHAVEZ  Assembly Third Reading",77,0,0,2,79
437686,296001,2013-07-03,Senate,"Do pass, but re-refer to the Committee on Appropriations",5,2,2,0,9
437686,297221,2013-08-12,Senate,"Placed on Appropriations Suspense file",6,0,1,0,7
437686,298293,2013-08-30,Senate,"Do pass as amended",7,0,0,0,7
437686,379075,2014-08-29,Senate,"Assembly 3rd Supp 1 AB13 Conway By Knight",36,0,4,0,40
437686,379076,2014-08-29,Assembly,"AB 13 CONWAY  Concurrence- Urgency Added",78,0,0,1,79
437687,274263,2013-04-29,Assembly,"Do pass as amended and be re-referred to the Committee on 	Appropriations",13,2,0,1,16
437687,283968,2013-05-24,Assembly,"Do pass",13,4,0,0,17
437687,284831,2013-05-28,Assembly,"AB 14 LOWENTHAL  Assembly Third Reading",59,18,0,2,79
437687,289668,2013-06-18,Senate,"Do pass, but re-refer to the Committee on Appropriations",10,0,1,0,11
437687,297810,2013-08-19,Senate,"Assembly 3rd Reading AB14 Lowenthal By DeSaulnier",31,5,3,0,39
437689,249550,2013-03-12,Assembly,"Do pass and be re-referred to the Committee on Appropriations",7,0,0,0,7
437689,283822,2013-05-24,Assembly,"Do pass",17,0,0,0,17
437689,285560,2013-05-30,Assembly,"AB 16 PEREZ, J.  Assembly Third Reading",78,0,0,1,79
437689,291564,2013-06-25,Senate,"Do pass, but re-refer to the Committee on Appropriations",7,0,0,0,7
437689,297316,2013-08-12,Senate,"Placed on Appropriations Suspense file",6,0,1,0,7
437689,298218,2013-08-30,Senate,"Do pass",7,0,0,0,7
437689,298957,2013-09-09,Senate,"Assembly 3rd Reading AB16 John A. P",39,0,0,0,39
437689,299179,2013-09-10,Assembly,"AB 16 PEREZ, J.  Concurrence in Senate Amendments",78,0,0,0,78
437691,286849,2013-06-04,Assembly,"Do pass and be re-referred to the Committee on Appropriations",12,4,0,3,19
437692,270780,2013-04-23,Assembly,"Do pass as amended and be re-referred to the Committee on 	Appropriations",4,3,0,0,7
437693,247968,2013-03-12,Assembly,"Do pass, to Consent Calendar",7,0,0,0,7
