people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
1507,"Anna Caballero",Anna,M.,Caballero,,,1,D,2,Sen,SD-014,775712,58583,,Anna_Caballero,248446,0
1551,"Roger Niello",Roger,,Niello,,,2,R,2,Sen,SD-006,649830,28727,,Roger_Niello,226451,0
1603,"Tony Strickland",Tony,,Strickland,,,2,R,2,Sen,SD-036,6601271,16765,,Tony_Strickland,193066,0
11611,"Shannon Grove",Shannon,L.,Grove,,,2,R,2,Sen,SD-012,13008592,120204,,Shannon_Grove,290948,0
14116,"Al Muratsuchi",Al,,Muratsuchi,,,1,D,1,Rep,HD-066,11022814,138450,,Al_Muratsuchi,390306,0
14118,"Sharon Quirk-Silva",Sharon,,Quirk-Silva,,,1,D,1,Rep,HD-067,11022813,71051,,Sharon_Quirk-Silva,408041,0
16221,"Brian Jones",Brian,W.,Jones,,,2,R,2,Sen,SD-040,13008835,70781,,Brian_Jones_(California),247950,0
16287,"James Gallagher",James,,Gallagher,,,2,R,1,Rep,HD-003,23421142,114778,,James_Gallagher_(California),494004,0
16288,"Mike Gipson",Mike,,Gipson,,,1,D,1,Rep,HD-065,775723,70443,,Mike_Gipson,390069,0
16291,"Jacqui Irwin",Jacqui,,Irwin,,,1,D,1,Rep,HD-042,667092,70919,,Jacqui_Irwin,494153,0
16293,"Tom Lackey",Tom,,Lackey,,,2,R,1,Rep,HD-034,11023291,71099,,Tom_Lackey,407978,0
16304,"Benjamin Allen",Benjamin,,Allen,,Ben,1,D,2,Sen,SD-024,23421111,151677,,Ben_Allen,493951,0
16308,"Mike McGuire",Mike,,McGuire,,,1,D,2,Sen,SD-002,23421088,129749,,Mike_McGuire,493936,0
18063,"Steven Choi",Steven,S.,Choi,,,2,R,2,Sen,SD-037,379694,70192,,Steven_S._Choi,291005,0
18064,"Eloise Reyes",Eloise,,Reyes,,,1,D,2,Sen,SD-029,2536758,169395,,Eloise_Gomez_Reyes,474456,0
18065,"Ash Kalra",Ash,,Kalra,,,1,D,1,Rep,HD-025,161609,112088,,Ash_Kalra,577820,0
18066,"Phillip Chen",Phillip,,Chen,,,2,R,1,Rep,HD-059,23421283,151715,,Phillip_Chen,494187,0
18067,"Cecilia Aguiar-Curry",Cecilia,,Aguiar-Curry,,,1,D,1,Rep,HD-004,292811,169297,,Cecilia_Aguiar-Curry,577746,0
18068,"Scott Wiener",Scott,,Wiener,,,1,D,2,Sen,SD-011,32203683,129655,,Scott_Wiener,577701,0
18069,"Heath Flora",Heath,,Flora,,,2,R,1,Rep,HD-009,38586307,169309,,Heath_Flora,577761,0
18070,"Henry Stern",Henry,,Stern,,,1,D,2,Sen,SD-027,39707348,169182,,Henry_Stern,392392,0
18072,"Tim Grayson",Tim,,Grayson,,,1,D,2,Sen,SD-009,38562212,129519,,Tim_Grayson,577768,0
18073,"Marc Berman",Marc,,Berman,,,1,D,1,Rep,HD-023,147046,146412,,Marc_Berman,577793,0
18075,"Monique Limon",Monique,,Limon,,,1,D,2,Sen,SD-019,15733884,169364,,S._Monique_Lim%C3%B3n,577850,0
18078,"Blanca Rubio",Blanca,E.,Rubio,,,1,D,1,Rep,HD-048,377819,169399,,Blanca_Rubio,577902,0
18079,"Sabrina Cervantes",Sabrina,,Cervantes,,,1,D,2,Sen,SD-031,38566119,169409,,Sabrina_Cervantes,455235,0
18877,"Budget and Fiscal Review",,,,,,0,,2,Sen,,0,0,,,0,476
19298,Agriculture,,,,,,0,,1,Rep,,0,0,,,0,448
19301,"Environmental Safety and Toxic Materials",,,,,,0,,1,Rep,,0,0,,,0,454
19327,"Labor and Employment",,,,,,0,,1,Rep,,0,0,,,0,464
19328,Insurance,,,,,,0,,1,Rep,,0,0,,,0,461
19329,Judiciary,,,,,,0,,1,Rep,,0,0,,,0,463
19332,"Business and Professions",,,,,,0,,1,Rep,,0,0,,,0,451
19339,"Natural Resources and Water",,,,,,0,,2,Sen,,0,0,,,0,485
19343,"Housing and Community Development",,,,,,0,,1,Rep,,0,0,,,0,459
19347,"Public Safety",,,,,,0,,2,Sen,,0,0,,,0,487
19349,"Revenue and Taxation",,,,,,0,,1,Rep,,0,0,,,0,469
19350,"Governmental Organization",,,,,,0,,1,Rep,,0,0,,,0,456
19357,"Governmental Organization",,,,,,0,,2,Sen,,0,0,,,0,479
19361,"Business, Professions and Economic Development",,,,,,0,,2,Sen,,0,0,,,0,493
19386,Education,,,,,,0,,2,Sen,,0,0,,,0,477
19459,"Joaquin Arambula",Joaquin,,Arambula,,,1,D,1,Rep,HD-031,38179528,169272,,Joaquin_Arambula,577832,0
19595,Health,,,,,,0,,2,Sen,,0,0,,,0,480
19607,"Banking and Finance",,,,,,0,,1,Rep,,0,0,,,0,450
19658,"Jesse Gabriel",Jesse,,Gabriel,,,1,D,1,Rep,HD-046,7025840,178075,,Jesse_Gabriel,660476,0
19716,"Rebecca Bauer-Kahan",Rebecca,,Bauer-Kahan,,,1,D,1,Rep,HD-016,44493620,180050,,Rebecca_Bauer-Kahan,660427,0
19717,"Tasha Boerner Horvath",Tasha,,"Boerner Horvath",,,1,D,1,Rep,HD-077,42673378,180144,,Tasha_Boerner_Horvath,660541,0
19719,"Cottie Petrie-Norris",Cottie,,Petrie-Norris,,,1,D,1,Rep,HD-073,44157744,180141,,Cottie_Petrie-Norris,660538,0
19720,"James Ramos",James,C.,Ramos,,,1,D,1,Rep,HD-045,14164505,144120,,James_Ramos,285901,0
19721,"Robert Rivas",Robert,,Rivas,,,1,D,1,Rep,HD-029,44493661,129744,,Robert_Rivas,235930,0
19723,"Buffy Wicks",Buffy,,Wicks,,,1,D,1,Rep,HD-014,44493619,180048,,Buffy_Wicks,278108,0
19725,"Bob Archuleta",Bob,J.,Archuleta,,,1,D,2,Sen,SD-030,146917,71279,,Bob_Archuleta,445332,0
19726,"Maria Durazo",Maria,Elena,Durazo,,,1,D,2,Sen,SD-026,2018933,179971,,Maria_Elena_Durazo,660378,0
19727,"Melissa Hurtado",Melissa,,Hurtado,,,1,D,2,Sen,SD-016,44493605,179956,,Melissa_Hurtado,660326,0
19728,"Tom Umberg",Thomas,,Umberg,,Tom,1,D,2,Sen,SD-034,6398641,29299,,Tom_Umberg,226490,0
19733,"Susan Rubio",Susan,,Rubio,,,1,D,2,Sen,SD-022,44493639,129493,,Susan_Rubio,660377,0
21253,"Public Employment and Retirement",,,,,,0,,1,Rep,,0,0,,,0,3914
21275,Education,,,,,,0,,1,Rep,,0,0,,,0,455
21276,Transportation,,,,,,0,,2,Sen,,0,0,,,0,3948
21282,"Labor, Public Employment and Retirement",,,,,,0,,2,Sen,,0,0,,,0,3973
21292,"Communications and Conveyance",,,,,,0,,1,Rep,,0,0,,,0,3669
21374,"Lena Gonzalez",Lena,,Gonzalez,,,1,D,2,Sen,SD-033,29336335,157372,,Lena_Gonzalez,709291,0
21440,"Megan Dahle",Megan,,Dahle,,,2,R,2,Sen,SD-001,13477063,186798,,Megan_Dahle,722712,0
21641,"Elections and Constitutional Amendments",,,,,,0,,2,Sen,,0,0,,,0,1796
21717,"Steve Bennett",Steve,,Bennett,,,1,D,1,Rep,HD-038,48644341,81822,,Steve_Bennett,390609,0
21718,"Laurie Davies",Laurie,,Davies,,,2,R,1,Rep,HD-074,26406472,146356,,Laurie_Davies,727357,0
21719,"Alex Lee",Alex,,Lee,,,1,D,1,Rep,HD-024,48644320,188786,,Alex_Lee,529817,0
21720,"Kelly Seyarto",Kelly,,Seyarto,,,2,R,2,Sen,SD-032,48644525,188881,,Kelly_Seyarto,727410,0
