bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1893344,1535026,2025-04-02,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",17,0,0,0,17
1893348,1528312,2025-03-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",18,0,0,0,18
1893349,1526958,2025-03-25,Assembly,"Do pass and be re-referred to the Committee on [Natural Resources] with recommendation: To Consent Calendar",13,0,0,0,13
1893349,1538900,2025-04-07,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",14,0,0,0,14
1893350,1505308,2025-03-04,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",9,0,0,0,9
1893351,1542868,2025-04-09,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1893352,1528316,2025-03-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",7,0,0,0,7
1893352,1542731,2025-04-09,Assembly,"Do pass. To Consent Calendar",14,0,0,1,15
1893355,1535143,2025-04-01,Assembly,"Do pass as amended and be re-referred to the Committee on [Judiciary]",9,0,0,6,15
1893355,1540876,2025-04-08,Assembly,"Do pass",9,0,0,3,12
1893361,1542906,2025-04-09,Assembly,"Do pass and be re-referred to the Committee on [Judiciary]",2,5,0,0,7
1893361,1542907,2025-04-09,Assembly,Reconsideration,2,5,0,0,7
1893365,1533476,2025-04-01,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",15,0,0,0,15
1893367,1525455,2025-03-24,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",12,0,0,2,14
1893368,1505298,2025-03-04,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",9,0,0,0,9
1893369,1505311,2025-03-04,Assembly,"Do pass and be re-referred to the Committee on [Transportation] with recommendation: To Consent Calendar",9,0,0,0,9
1893369,1525418,2025-03-24,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",16,0,0,0,16
1893373,1542683,2025-04-09,Assembly,"Do pass and be re-referred to the Committee on [Local Government] with recommendation: To Consent Calendar",12,0,0,0,12
1893376,1542830,2025-04-09,Assembly,"Do pass and be re-referred to the Committee on [Utilities and Energy]",10,0,0,0,10
1893377,1533584,2025-04-01,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",11,2,0,2,15
1893378,1526967,2025-03-25,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",12,0,0,3,15
1893378,1542691,2025-04-09,Assembly,"Do pass",10,3,0,2,15
1893380,1526962,2025-03-25,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1893381,1525415,2025-03-24,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",11,0,0,3,14
1893387,1544955,2025-04-09,Assembly,"Do pass as amended and be re-referred to the Committee on [Judiciary]",7,2,0,0,9
1893388,1542735,2025-04-09,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1893389,1533523,2025-04-01,Assembly,"Do pass as amended and be re-referred to the Committee on [Health]",17,0,0,1,18
1893393,1540847,2025-04-08,Assembly,"Do pass and be re-referred to the Committee on [Judiciary]",12,0,0,3,15
1893394,1540944,2025-04-08,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",15,0,0,0,15
1893396,1528248,2025-03-26,Assembly,"Do pass as amended and be re-referred to the Committee on [Judiciary]",8,0,0,3,11
