bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1978783,3134946,text,14186,text/html,Introduced,https://legiscan.com/CA/text/SB550/id/3134946,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB550#99INT
1978783,3191136,text,23981,text/html,Amended,https://legiscan.com/CA/text/SB550/id/3191136,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB550#98AMD
1978784,3134947,text,34088,text/html,Introduced,https://legiscan.com/CA/text/SB551/id/3134947,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB551#99INT
1978784,3186957,text,38419,text/html,Amended,https://legiscan.com/CA/text/SB551/id/3186957,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB551#98AMD
1978785,3134948,text,32669,text/html,Introduced,https://legiscan.com/CA/text/SB552/id/3134948,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB552#99INT
1978786,3134949,text,9530,text/html,Introduced,https://legiscan.com/CA/text/SB553/id/3134949,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB553#99INT
1978787,3134950,text,27487,text/html,Introduced,https://legiscan.com/CA/text/SB554/id/3134950,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB554#99INT
1978787,3186779,text,28350,text/html,Amended,https://legiscan.com/CA/text/SB554/id/3186779,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB554#98AMD
1978788,3134951,text,16907,text/html,Introduced,https://legiscan.com/CA/text/SB555/id/3134951,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB555#99INT
1978788,3197976,text,17334,text/html,Amended,https://legiscan.com/CA/text/SB555/id/3197976,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB555#98AMD
1978789,3135677,text,6095,text/html,Introduced,https://legiscan.com/CA/text/SB556/id/3135677,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB556#99INT
1978789,3193895,text,7726,text/html,Amended,https://legiscan.com/CA/text/SB556/id/3193895,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB556#98AMD
1978789,3209301,text,8093,text/html,Amended,https://legiscan.com/CA/text/SB556/id/3209301,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB556#97AMD
1978790,3134952,text,3664,text/html,Introduced,https://legiscan.com/CA/text/SB557/id/3134952,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB557#99INT
1978791,3134953,text,8372,text/html,Introduced,https://legiscan.com/CA/text/SB558/id/3134953,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB558#99INT
