bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
892574,1439185,text,166097,text/html,Introduced,https://legiscan.com/CA/text/AB1/id/1439185,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB1
892448,1439051,text,7380,text/html,Introduced,https://legiscan.com/CA/text/AB2/id/1439051,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB2
892448,1540457,text,10728,text/html,Amended,https://legiscan.com/CA/text/AB2/id/1540457,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB2
892489,1439094,text,21126,text/html,Introduced,https://legiscan.com/CA/text/AB3/id/1439094,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB3
892489,1524452,text,22617,text/html,Amended,https://legiscan.com/CA/text/AB3/id/1524452,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB3
892489,1612985,text,32076,text/html,Amended,https://legiscan.com/CA/text/AB3/id/1612985,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB3
892489,1626161,text,18909,text/html,Amended,https://legiscan.com/CA/text/AB3/id/1626161,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB3
892489,1648917,text,70490,text/html,Amended,https://legiscan.com/CA/text/AB3/id/1648917,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB3
892489,1754416,text,22613,text/html,Amended,https://legiscan.com/CA/text/AB3/id/1754416,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB3
892458,1439061,text,6233,text/html,Introduced,https://legiscan.com/CA/text/AB4/id/1439061,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB4
892458,1579216,text,10261,text/html,Amended,https://legiscan.com/CA/text/AB4/id/1579216,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB4
892458,1632757,text,5144,text/html,Enrolled,https://legiscan.com/CA/text/AB4/id/1632757,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB4
892458,1637902,text,3892,text/html,Chaptered,https://legiscan.com/CA/text/AB4/id/1637902,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB4
892476,1439080,text,10006,text/html,Introduced,https://legiscan.com/CA/text/AB5/id/1439080,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB5
892557,1439168,text,16762,text/html,Introduced,https://legiscan.com/CA/text/AB6/id/1439168,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB6
892557,1531566,text,23110,text/html,Amended,https://legiscan.com/CA/text/AB6/id/1531566,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB6
892557,1544863,text,7209,text/html,Amended,https://legiscan.com/CA/text/AB6/id/1544863,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB6
892557,1569430,text,8297,text/html,Amended,https://legiscan.com/CA/text/AB6/id/1569430,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB6
892557,1634937,text,14311,text/html,Amended,https://legiscan.com/CA/text/AB6/id/1634937,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB6
892557,1809435,text,15899,text/html,Amended,https://legiscan.com/CA/text/AB6/id/1809435,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB6
892557,1811265,text,10939,text/html,Amended,https://legiscan.com/CA/text/AB6/id/1811265,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB6
892506,1439113,text,6076,text/html,Introduced,https://legiscan.com/CA/text/AB7/id/1439113,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB7
892506,1538304,text,15489,text/html,Amended,https://legiscan.com/CA/text/AB7/id/1538304,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB7
892506,1577809,text,8589,text/html,Amended,https://legiscan.com/CA/text/AB7/id/1577809,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB7
892506,1647687,text,9147,text/html,Amended,https://legiscan.com/CA/text/AB7/id/1647687,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB7
892506,1649060,text,9666,text/html,Enrolled,https://legiscan.com/CA/text/AB7/id/1649060,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB7
892506,1652871,text,7748,text/html,Chaptered,https://legiscan.com/CA/text/AB7/id/1652871,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB7
892596,1439209,text,5117,text/html,Introduced,https://legiscan.com/CA/text/AB8/id/1439209,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB8
