bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1636377,1311676,2023-04-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",6,1,0,0,7
1636377,1327994,2023-05-18,Assembly,"Do pass as amended",12,3,0,1,16
1636377,1333609,2023-05-25,Assembly,"AB 1 McKinnor Assembly Third Reading",68,5,0,7,80
1636377,1348464,2023-06-28,Senate,"Do pass, but first be re-referred to the Committee on [Judiciary]",4,0,0,1,5
1636377,1350475,2023-07-11,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",9,1,0,1,11
1636377,1352314,2023-08-28,Senate,"Placed on suspense file",7,0,0,0,7
1636377,1352628,2023-09-01,Senate,"Do pass",5,2,0,0,7
1636377,1353886,2023-09-12,Senate,"Assembly 3rd Reading AB1 McKinnor et al. By Durazo",30,3,0,7,40
1636377,1354155,2023-09-13,Assembly,"AB 1 McKinnor Concurrence in Senate Amendments",71,5,0,4,80
1636378,1313522,2023-04-26,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1636378,1322935,2023-05-10,Assembly,"Do pass. To Consent Calendar",14,0,0,2,16
1636378,1328666,2023-05-18,Assembly,"AB 10 Lowenthal Consent Calendar Second Day",74,0,0,6,80
1636378,1344198,2023-06-14,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",7,0,0,0,7
1636378,1349474,2023-07-03,Senate,"Placed on suspense file",7,0,0,0,7
1636378,1352643,2023-09-01,Senate,"Do pass as amended",7,0,0,0,7
1636378,1354228,2023-09-13,Senate,"Special Consent AB10 Lowenthal et al",39,0,0,1,40
1636378,1354664,2023-09-14,Assembly,"AB 10 Lowenthal Concurrence in Senate Amendments",80,0,0,0,80
1636379,1276620,2023-03-15,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",6,0,0,1,7
1636380,1298207,2023-04-11,Assembly,"Do pass",8,3,0,0,11
1636380,1330129,2023-05-22,Assembly,"AB 12 Haney Assembly Third Reading",53,14,0,13,80
1636380,1345691,2023-06-20,Senate,"Do pass",8,2,0,1,11
1636380,1353971,2023-09-12,Senate,"Assembly 3rd Reading AB12 Haney et al. Wiener",21,9,0,10,40
1636380,1354373,2023-09-13,Assembly,"AB 12 Haney Concurrence in Senate Amendments",50,18,0,12,80
1636381,1276660,2023-03-15,Assembly,"Do pass and be re-referred to the Committee on [Governmental Organization]",2,6,0,0,8
1636381,1276661,2023-03-15,Assembly,Reconsideration,3,1,0,4,8
1636383,1270448,2023-03-07,Assembly,"Do pass and be re-referred to the Committee on [Judiciary]",2,6,0,0,8
1636386,1251051,2023-02-14,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",2,5,0,1,8
1636387,1301005,2023-04-12,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",7,0,0,0,7
1636387,1328472,2023-05-18,Assembly,"Do pass",15,0,0,1,16
1636387,1333569,2023-05-25,Assembly,"AB 19 Joe Patterson Assembly Third Reading",78,0,0,2,80
1636387,1346265,2023-06-21,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations] with the recommendation: To Consent Calendar",7,0,0,0,7
1636387,1349981,2023-07-10,Senate,"Placed on suspense file",6,0,0,1,7
1636388,1288270,2023-03-28,Assembly,"Do pass and be re-referred to the Committee on [Natural Resources]",8,0,0,1,9
1636388,1310271,2023-04-24,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",10,0,0,1,11
1636388,1328789,2023-05-18,Assembly,"Do pass as amended",12,2,0,2,16
1636388,1333649,2023-05-25,Assembly,"AB 2 Ward Assembly Third Reading",66,4,0,10,80
1636388,1350483,2023-07-12,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",5,0,0,2,7
1636388,1351357,2023-08-14,Senate,"Placed on suspense file",7,0,0,0,7
1636389,1275530,2023-03-14,Assembly,"Do pass as amended, and be re-referred to the Committee on [Human Services] with recommendation: To Consent Calendar",11,0,0,0,11
1636389,1304352,2023-04-18,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",7,0,0,1,8
1636389,1328475,2023-05-18,Assembly,"Do pass",15,0,0,1,16
1636389,1333752,2023-05-25,Assembly,"AB 20 Gipson Assembly Third Reading",78,0,0,2,80
1636389,1345668,2023-06-20,Senate,"Do pass, but first be re-referred to the Committee on [Human Services] with the recommendation: To Consent Calendar",11,0,0,0,11
1636389,1349566,2023-07-03,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",5,0,0,0,5
1636389,1351481,2023-08-14,Senate,"Placed on suspense file",7,0,0,0,7
1636389,1352653,2023-09-01,Senate,"Do pass",7,0,0,0,7
1636389,1354027,2023-09-12,Senate,"Assembly 3rd Reading AB20 Gipson et al. By Wahab",38,0,0,2,40
1636389,1354222,2023-09-13,Assembly,"AB 20 Gipson Concurrence in Senate Amendments",80,0,0,0,80
1636390,1251030,2023-02-14,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",8,0,0,0,8
1636393,1298203,2023-04-11,Assembly,"Do pass as amended and be re-referred to the Committee on [Judiciary]",15,0,0,0,15
1636393,1310196,2023-04-25,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",11,0,0,0,11
