bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
212618,74641,text,4682,text/html,Introduced,https://legiscan.com/CA/text/AB1/id/74641,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_1_bill_20101206_introduced.html
212618,78182,text,5105,text/html,Amended,https://legiscan.com/CA/text/AB1/id/78182,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_1_bill_20110114_amended_asm_v98.html
212619,74642,text,43845,text/html,Introduced,https://legiscan.com/CA/text/AB2/id/74642,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_2_bill_20101206_introduced.html
212619,223411,text,38935,text/html,Amended,https://legiscan.com/CA/text/AB2/id/223411,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_2_bill_20110317_amended_asm_v98.html
212619,230482,text,39252,text/html,Amended,https://legiscan.com/CA/text/AB2/id/230482,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_2_bill_20110330_amended_asm_v97.html
212619,318559,text,38464,text/html,Amended,https://legiscan.com/CA/text/AB2/id/318559,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_2_bill_20110527_amended_asm_v96.html
212619,332572,text,38822,text/html,Amended,https://legiscan.com/CA/text/AB2/id/332572,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_2_bill_20110614_amended_sen_v95.html
212619,341482,text,39326,text/html,Amended,https://legiscan.com/CA/text/AB2/id/341482,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_2_bill_20110629_amended_sen_v94.html
212619,348521,text,44645,text/html,Amended,https://legiscan.com/CA/text/AB2/id/348521,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_2_bill_20110816_amended_sen_v93.html
212620,74643,text,14070,text/html,Introduced,https://legiscan.com/CA/text/AB3/id/74643,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_3_bill_20101206_introduced.html
212620,236221,text,24184,text/html,Amended,https://legiscan.com/CA/text/AB3/id/236221,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_3_bill_20110405_amended_asm_v98.html
212620,241936,text,11753,text/html,Amended,https://legiscan.com/CA/text/AB3/id/241936,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_3_bill_20110414_amended_asm_v97.html
212621,74644,text,54161,text/html,Introduced,https://legiscan.com/CA/text/AB4/id/74644,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_4_bill_20101206_introduced.html
212621,232530,text,56194,text/html,Amended,https://legiscan.com/CA/text/AB4/id/232530,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_4_bill_20110329_amended_asm_v98.html
212621,241777,text,53934,text/html,Amended,https://legiscan.com/CA/text/AB4/id/241777,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_4_bill_20110414_amended_asm_v97.html
212622,74645,text,10100,text/html,Introduced,https://legiscan.com/CA/text/AB5/id/74645,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_5_bill_20101206_introduced.html
212622,217733,text,11362,text/html,Amended,https://legiscan.com/CA/text/AB5/id/217733,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_5_bill_20110308_amended_asm_v98.html
212622,233303,text,10629,text/html,Amended,https://legiscan.com/CA/text/AB5/id/233303,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_5_bill_20110404_amended_asm_v97.html
212622,313429,text,32296,text/html,Amended,https://legiscan.com/CA/text/AB5/id/313429,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_5_bill_20110527_amended_asm_v96.html
212622,328757,text,23766,text/html,Amended,https://legiscan.com/CA/text/AB5/id/328757,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_5_bill_20110609_amended_sen_v95.html
212622,338449,text,23968,text/html,Amended,https://legiscan.com/CA/text/AB5/id/338449,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_5_bill_20110622_amended_sen_v94.html
212622,661696,text,89724,text/html,Amended,https://legiscan.com/CA/text/AB5/id/661696,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_5_bill_20120821_amended_sen_v93.html
212622,662175,text,92505,text/html,Amended,https://legiscan.com/CA/text/AB5/id/662175,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_5_bill_20120824_amended_sen_v92.html
212623,74646,text,76008,text/html,Introduced,https://legiscan.com/CA/text/AB6/id/74646,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_6_bill_20101206_introduced.html
212623,242409,text,90994,text/html,Amended,https://legiscan.com/CA/text/AB6/id/242409,http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0001-0050/ab_6_bill_20110412_amended_asm_v98.html
