bill_id,people_id,position
1385398,18070,4
1385398,18075,1
1385398,19487,3
1385398,21717,2
1385399,16303,1
1385400,16033,3
1385400,16087,1
1385400,19487,2
1385400,19659,4
1385401,19396,1
1385402,14091,9
1385402,14092,11
1385402,14096,17
1385402,14098,21
1385402,14100,25
1385402,14103,30
1385402,14104,23
1385402,14106,36
1385402,14107,38
1385402,14110,43
1385402,14112,46
1385402,14113,50
1385402,14115,52
1385402,14116,53
1385402,14117,56
1385402,14118,59
1385402,14119,58
1385402,14120,61
1385402,14121,70
1385402,14122,71
1385402,14123,75
1385402,14219,54
1385402,16033,44
1385402,16087,64
1385402,16280,13
1385402,16282,19
1385402,16284,22
1385402,16286,27
1385402,16287,33
1385402,16288,34
1385402,16291,39
1385402,16293,41
1385402,16294,45
1385402,16295,47
1385402,16296,49
1385402,16297,1
1385402,16299,66
1385402,16303,78
1385402,16304,4
1385402,16309,55
1385402,16316,48
1385402,17428,65
1385402,18063,20
1385402,18064,62
1385402,18065,40
1385402,18066,18
1385402,18067,2
1385402,18069,28
1385402,18070,69
1385402,18072,37
1385402,18073,8
1385402,18074,24
1385402,18077,31
1385402,18078,10
1385402,18079,16
1385402,18080,74
1385402,19330,29
1385402,19459,5
1385402,19487,15
1385402,19658,32
1385402,19716,6
1385402,19717,12
1385402,19719,57
1385402,19720,60
1385402,19721,63
1385402,19723,77
1385402,21374,35
1385402,21440,51
1385402,21717,7
1385402,21718,26
1385402,21719,42
1385402,21720,67
1385402,21721,72
1385402,21722,73
1385402,21723,76
1385402,22654,14
1385402,22851,68
1385402,22918,3
1385403,1556,1
1385404,1507,5
1385404,14092,7
1385404,14104,8
1385404,14121,11
1385404,16033,3
1385404,16286,1
1385404,16299,10
1385404,16303,12
1385404,18065,2
1385404,18067,6
1385404,19659,9
1385404,19721,4
1385405,16282,2
1385405,16286,7
1385405,16294,10
1385405,18068,3
1385405,19487,6
1385405,19659,1
1385405,19717,4
1385405,19721,11
1385405,19727,9
1385405,21374,8
1385405,21722,12
1385405,22932,5
1385406,17428,1
1385407,16288,2
1385407,16297,1
1385408,10970,54
1385408,14091,7
1385408,14092,9
1385408,14096,16
1385408,14098,19
1385408,14100,22
1385408,14103,27
1385408,14104,21
1385408,14106,32
1385408,14107,34
1385408,14109,36
1385408,14110,40
1385408,14112,44
1385408,14113,48
1385408,14115,50
1385408,14117,55
1385408,14118,58
1385408,14119,57
1385408,14120,60
1385408,14121,69
1385408,14122,70
1385408,14123,74
1385408,14219,51
1385408,16033,41
1385408,16087,63
1385408,16280,12
1385408,16282,17
1385408,16284,20
1385408,16286,24
1385408,16287,30
1385408,16288,31
1385408,16291,35
1385408,16293,39
1385408,16294,42
1385408,16295,45
1385408,16296,47
1385408,16297,53
1385408,16299,66
1385408,16303,77
1385408,16316,46
1385408,17428,65
1385408,18063,18
1385408,18064,61
1385408,18065,37
1385408,18067,2
1385408,18069,25
1385408,18071,38
1385408,18072,33
1385408,18077,28
1385408,18078,8
1385408,18079,15
1385408,18080,73
1385408,18082,52
1385408,19330,26
1385408,19459,4
1385408,19487,14
1385408,19658,29
1385408,19659,43
1385408,19716,5
1385408,19717,10
1385408,19719,56
1385408,19720,59
1385408,19721,62
1385408,19723,76
1385408,19728,1
1385408,19733,64
1385408,21440,49
1385408,21717,6
1385408,21718,23
1385408,21720,67
1385408,21721,71
1385408,21722,72
1385408,21723,75
1385408,22654,13
1385408,22851,68
1385408,22918,3
1385408,22932,11
1385409,21721,1
1385410,19717,1
1385411,16309,4
1385411,18074,2
1385411,19330,1
1385411,21718,3
1385413,14092,13
1385413,14094,1
1385413,14118,4
1385413,14122,16
1385413,16033,3
1385413,16282,2
1385413,16299,5
1385413,16304,12
1385413,18065,14
1385413,18068,11
1385413,18077,8
1385413,19659,10
1385413,19721,15
1385413,19723,6
1385413,19726,7
1385413,21719,9
1385414,14103,1
1385415,14091,8
1385415,14092,10
1385415,14094,12
1385415,14096,16
1385415,14098,18
1385415,14100,21
1385415,14106,29
1385415,14107,31
1385415,14109,33
1385415,14110,38
1385415,14112,42
1385415,14113,46
1385415,14115,48
1385415,14116,49
1385415,14118,2
1385415,14120,54
1385415,14121,61
1385415,14122,62
1385415,14123,66
1385415,16033,39
1385415,16087,57
1385415,16280,13
1385415,16282,17
1385415,16284,19
1385415,16286,23
1385415,16287,27
1385415,16288,28
1385415,16291,32
1385415,16293,36
1385415,16294,40
1385415,16295,43
1385415,16296,45
1385415,16297,51
1385415,16299,58
1385415,16303,68
1385415,16309,50
1385415,16316,44
1385415,18063,1
1385415,18064,55
1385415,18065,34
1385415,18067,3
1385415,18069,24
1385415,18071,35
1385415,18072,30
1385415,18073,7
1385415,18074,20
1385415,18077,26
1385415,18078,9
1385415,18080,65
1385415,19330,25
1385415,19459,4
1385415,19487,15
1385415,19659,41
1385415,19716,5
1385415,19717,11
1385415,19719,52
1385415,19720,53
1385415,19721,56
1385415,21440,47
1385415,21717,6
1385415,21718,22
1385415,21719,37
1385415,21720,59
1385415,21721,63
1385415,21722,64
1385415,21723,67
1385415,22654,14
1385415,22851,60
1385416,1561,8
1385416,14101,5
1385416,14122,9
1385416,18068,1
1385416,18077,2
1385416,19487,4
1385416,19627,3
1385416,19723,10
1385416,22948,7
1385416,23137,6
1385417,21725,1
1385418,10970,5
1385418,14100,3
1385418,19728,1
1385418,21725,2
1385418,21727,4
1385419,18070,2
1385419,19719,1
1385420,1507,2
1385420,1561,5
1385420,10959,1
1385420,16308,3
1385420,18068,6
1385420,19733,4
1385421,16284,1
1385421,18078,2
1385422,16304,1
1385423,16033,1
1385424,1507,7
1385424,1561,16
1385424,14101,10
1385424,16033,4
1385424,16286,3
1385424,16306,11
1385424,16308,14
1385424,18067,2
1385424,18068,19
1385424,18070,17
1385424,18075,12
1385424,19487,8
1385424,19659,13
1385424,19723,18
1385424,19725,5
1385424,19726,9
1385424,19733,15
1385424,21374,1
1385424,21724,6
1385425,10972,1
1385427,19396,1
1385428,14116,3
1385428,19487,2
1385428,21724,1
1385429,14119,1
1385430,1561,4
1385430,14116,10
1385430,14122,11
1385430,16291,15
1385430,16296,17
1385430,16303,18
1385430,16304,2
1385430,16306,3
1385430,18068,6
1385430,18070,5
1385430,18072,9
1385430,18077,7
1385430,19487,14
1385430,19627,16
1385430,19659,1
1385430,19717,13
1385430,21374,8
1385430,21724,12
1385431,16296,1
1385432,21725,1
1385433,10972,1
1385434,1507,2
1385434,1561,1
1385435,14118,2
1385435,17428,3
1385435,19330,1
1385435,21722,4
1385436,11612,7
1385436,14091,2
1385436,14098,4
1385436,14099,5
1385436,16221,8
1385436,16285,6
1385436,16308,9
1385436,19724,3
1385436,19733,1
1385437,14100,2
1385437,18082,4
1385437,19728,1
1385437,21727,3
1385437,21728,5
1385438,14110,9
1385438,14119,10
1385438,14121,12
1385438,14122,13
1385438,14124,14
1385438,16033,3
1385438,16280,7
1385438,16282,2
1385438,18065,8
1385438,18067,1
1385438,18068,4
1385438,18073,5
1385438,18078,6
1385438,19721,11
1385438,19723,15
1385439,1507,5
1385439,1552,15
1385439,11611,9
1385439,11612,10
1385439,14099,6
1385439,14114,13
1385439,14117,17
1385439,14125,2
1385439,14134,18
1385439,16221,11
1385439,16285,7
1385439,16293,12
1385439,16305,3
1385439,17701,8
1385439,18082,14
1385439,19724,4
1385439,19727,1
1385439,21720,19
1385439,21721,20
1385439,21728,16
1385441,16306,1
1385442,14107,1
1385443,14122,1
1385444,21721,1
1385445,19658,1
1385446,19396,1
1385447,1507,1
1385447,1561,2
1385447,14104,3
1385447,14116,6
1385447,16303,8
1385447,18069,4
1385447,18077,5
1385447,19721,7
1385448,21725,1
1385449,19396,1
1385450,14100,2
1385450,14113,4
1385450,16288,3
1385450,16297,1
1385451,19717,1
1385452,14116,5
1385452,14122,8
1385452,16033,3
1385452,16296,4
1385452,16297,6
1385452,19716,1
1385452,19717,2
1385452,19719,7
1385453,19728,1
1385455,16033,2
1385455,17428,1
1385456,14100,2
1385456,19728,1
1385457,18070,1
1385458,1561,1
1385459,1556,2
1385459,14116,5
1385459,14134,6
1385459,16308,4
1385459,17701,1
1385459,19727,3
1385460,16221,2
1385460,18071,1
1385461,19396,1
1385462,14104,1
1385462,14122,10
1385462,16033,3
1385462,16282,5
1385462,16296,8
1385462,18065,2
1385462,18068,12
1385462,19487,4
1385462,19721,9
1385462,19723,11
1385462,21374,6
1385462,21719,7
1385463,1561,1
1385463,14101,3
1385463,14107,4
1385463,14116,5
1385463,14119,6
1385463,19487,2
1385464,14100,2
1385464,14118,5
1385464,19719,4
1385464,19728,1
1385464,21727,3
1385465,14101,13
1385465,14104,10
1385465,14112,18
1385465,14118,21
1385465,14119,20
1385465,14121,24
1385465,16299,23
1385465,17428,22
1385465,18063,9
1385465,18065,15
1385465,18067,1
1385465,18068,26
1385465,18073,5
1385465,18074,11
1385465,18078,6
1385465,19459,3
1385465,19487,8
1385465,19659,17
1385465,19716,4
1385465,19719,19
1385465,19721,2
1385465,21374,14
1385465,21718,12
1385465,21719,16
1385465,21722,25
1385465,22654,7
1385466,14120,1
1385467,16304,2
1385467,18067,1
1385468,1507,2
1385468,10959,1
1385468,16308,7
1385468,18068,4
