bill_id,people_id,position
1131476,14098,1
1131590,14120,1
1131709,14120,1
1131832,14134,1
1131835,11612,1
1131840,16306,1
1131843,1561,1
1131846,14125,1
1131851,10959,1
1131853,1548,1
1131856,10959,1
1131873,19396,1
1131874,1552,3
1131874,14098,5
1131874,14100,6
1131874,14106,7
1131874,14114,9
1131874,16287,1
1131874,16295,8
1131874,18067,4
1131874,21440,2
1131875,14101,4
1131875,14113,6
1131875,16282,3
1131875,16296,5
1131875,18063,7
1131875,18073,2
1131875,18081,8
1131875,19716,1
1131876,14116,1
1131876,14122,3
1131876,16296,5
1131876,18064,2
1131876,19716,4
1131877,19396,1
1131878,19659,1
1131879,14115,3
1131879,14122,1
1131879,16282,2
1131880,1528,7
1131880,1561,15
1131880,14109,10
1131880,16280,1
1131880,16282,2
1131880,16288,8
1131880,16291,9
1131880,16294,12
1131880,16296,14
1131880,18067,4
1131880,18068,3
1131880,18069,6
1131880,19459,5
1131880,19659,13
1131880,21374,11
1131881,16087,1
1131882,14118,2
1131882,18079,1
1131883,1561,1
1131883,19627,2
1131883,19723,3
1131884,14094,2
1131884,16033,4
1131884,16282,3
1131884,16288,8
1131884,16299,5
1131884,18064,9
1131884,19459,1
1131884,19487,6
1131884,19726,7
1131885,16033,2
1131885,18065,1
1131886,19396,1
1131888,19396,1
1131889,1536,12
1131889,1556,5
1131889,14094,9
1131889,14108,10
1131889,14116,2
1131889,14134,6
1131889,16286,11
1131889,16296,1
1131889,16298,3
1131889,16304,7
1131889,18073,8
1131889,19716,4
1131889,19722,13
1131889,19723,14
1131890,1498,4
1131890,1536,19
1131890,1561,33
1131890,14092,7
1131890,14094,8
1131890,14101,13
1131890,14103,14
1131890,14107,20
1131890,14109,21
1131890,14110,23
1131890,14115,28
1131890,14119,30
1131890,14121,26
1131890,14122,34
1131890,14124,35
1131890,14219,29
1131890,16033,17
1131890,16280,9
1131890,16282,2
1131890,16283,10
1131890,16284,11
1131890,16286,12
1131890,16288,15
1131890,16294,24
1131890,16296,27
1131890,16299,32
1131890,16303,37
1131890,18065,22
1131890,18067,1
1131890,18068,3
1131890,18072,18
1131890,18073,5
1131890,18078,6
1131890,18081,16
1131890,19659,25
1131890,19721,31
1131890,19723,36
1131891,14104,1
1131891,14122,11
1131891,14124,12
1131891,16033,2
1131891,16282,5
1131891,16296,8
1131891,16299,10
1131891,18065,3
1131891,18068,13
1131891,19487,4
1131891,19721,9
1131891,19726,6
1131891,21374,7
1131892,1561,1
1131892,19723,2
1131893,19396,1
1131894,1556,12
1131894,14094,1
1131894,14118,7
1131894,16033,5
1131894,16282,3
1131894,16288,10
1131894,16296,6
1131894,16299,8
1131894,18077,4
1131894,18079,2
1131894,19487,9
1131894,19659,11
1131895,14122,1
1131895,18068,3
1131895,18070,2
1131896,14118,3
1131896,16033,4
1131896,16282,1
1131896,19659,2
1131897,14122,1
1131898,14094,5
1131898,14104,7
1131898,14115,11
1131898,14123,3
1131898,16282,6
1131898,16293,9
1131898,16296,10
1131898,18064,2
1131898,18065,8
1131898,18073,4
1131898,18077,1
1131899,1561,1
1131900,1556,1
1131901,1561,4
1131901,10972,5
1131901,14092,1
1131901,14122,2
1131901,16306,3
1131903,19396,1
1131904,19330,1
1131905,19396,1
1131906,1498,3
1131906,1556,7
1131906,14104,6
1131906,14125,9
1131906,16087,8
1131906,16283,1
1131906,16286,2
1131906,18078,4
1131906,19487,5
1131907,19396,1
1131908,14104,4
1131908,16033,5
1131908,16281,3
1131908,17428,7
1131908,19659,1
1131908,19717,2
1131908,19720,6
1131909,14115,3
1131909,18065,1
1131909,18079,2
1131909,19719,4
1131910,16087,1
1131911,1528,2
1131911,1552,5
1131911,14130,1
1131911,16287,3
1131911,18075,4
1131912,19396,1
1131914,18077,1
1131915,1556,23
1131915,1561,27
1131915,10959,3
1131915,10970,22
1131915,14098,6
1131915,14101,10
1131915,14113,19
1131915,14116,20
1131915,14118,24
1131915,14120,4
1131915,14134,26
1131915,14219,21
1131915,16294,17
1131915,16297,1
1131915,16304,5
1131915,16306,13
1131915,16307,16
1131915,16308,18
1131915,17701,2
1131915,18065,15
1131915,18070,28
1131915,18074,7
1131915,18081,12
1131915,19658,11
1131915,19718,8
1131915,19721,25
1131915,19726,9
1131915,19727,14
1131916,16033,1
1131917,1507,2
1131917,1528,4
1131917,1561,10
1131917,10959,1
1131917,10969,8
1131917,14130,6
1131917,16307,7
1131917,19726,3
1131917,19727,5
1131917,19733,9
1131918,18065,1
1131920,19396,1
1131921,18072,1
1131922,14122,1
1131923,19487,2
1131923,19726,1
1131924,19396,1
1131925,18068,3
1131925,18073,1
1131925,19659,2
1131926,14103,4
1131926,16279,2
1131926,16286,3
1131926,16295,5
1131926,16298,1
1131927,14094,1
1131927,14110,5
1131927,14121,6
1131927,16033,4
1131927,16282,2
1131927,16288,3
1131927,16296,7
1131927,18068,8
1131928,1498,1
1131928,1504,6
1131928,1507,7
1131928,1556,3
1131928,11612,11
1131928,14115,13
1131928,14134,4
1131928,16299,14
1131928,16308,2
1131928,18065,12
1131928,18067,5
1131928,18068,17
1131928,18070,15
1131928,18081,10
1131928,19487,8
1131928,19658,9
1131928,19723,16
1131929,19330,1
1131930,19396,1
1131931,1498,3
1131931,10969,5
1131931,16282,4
1131931,16306,1
1131931,19721,6
1131931,19725,2
1131932,1528,1
1131932,1536,3
1131932,16306,2
1131933,14219,1
1131935,19396,1
1131936,1536,21
1131936,10972,22
1131936,14094,3
1131936,14122,17
1131936,16033,10
1131936,16280,4
1131936,16281,19
1131936,16282,6
1131936,16283,7
1131936,16285,20
1131936,16286,8
1131936,16296,12
1131936,16299,15
1131936,18064,13
1131936,18073,1
1131936,18075,11
1131936,18077,9
1131936,18078,2
1131936,19487,5
1131936,19720,23
1131936,19721,14
1131936,19722,16
1131936,19723,18
1131937,19396,1
1131938,14104,5
1131938,14107,6
1131938,14119,8
1131938,16033,2
1131938,16283,1
1131938,16298,3
1131938,16316,7
1131938,19459,4
1131939,1556,2
1131939,10959,1
1131939,11612,5
1131939,18070,3
1131939,18081,4
1131940,16284,1
1131941,14091,6
1131941,14092,8
1131941,14094,10
1131941,14096,17
1131941,14098,21
1131941,14100,26
1131941,14101,29
1131941,14103,32
1131941,14104,23
1131941,14106,39
1131941,14108,13
1131941,14109,42
1131941,14110,47
1131941,14112,50
1131941,14113,54
