bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1132030,1827617,text,10929,text/html,Introduced,https://legiscan.com/CA/text/AB1/id/1827617,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB1
1132030,1990257,text,25074,text/html,Amended,https://legiscan.com/CA/text/AB1/id/1990257,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB1
1132030,2046245,text,20330,text/html,Enrolled,https://legiscan.com/CA/text/AB1/id/2046245,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB1
1132030,2047824,text,19104,text/html,Chaptered,https://legiscan.com/CA/text/AB1/id/2047824,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB1
1131894,1827486,text,6207,text/html,Introduced,https://legiscan.com/CA/text/AB2/id/1827486,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB2
1131894,1882381,text,5895,text/html,Amended,https://legiscan.com/CA/text/AB2/id/1882381,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB2
1131894,1956068,text,11201,text/html,Amended,https://legiscan.com/CA/text/AB2/id/1956068,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB2
1131894,2020022,text,11700,text/html,Amended,https://legiscan.com/CA/text/AB2/id/2020022,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB2
1131894,2050970,text,18229,text/html,Amended,https://legiscan.com/CA/text/AB2/id/2050970,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB2
1131894,2053316,text,9049,text/html,Enrolled,https://legiscan.com/CA/text/AB2/id/2053316,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB2
1131894,2055937,text,6644,text/html,Chaptered,https://legiscan.com/CA/text/AB2/id/2055937,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB2
1132059,1827643,text,7666,text/html,Introduced,https://legiscan.com/CA/text/AB3/id/1827643,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB3
1132059,1977346,text,13224,text/html,Amended,https://legiscan.com/CA/text/AB3/id/1977346,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB3
1131884,1827477,text,11816,text/html,Introduced,https://legiscan.com/CA/text/AB4/id/1827477,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB4
1131884,1977210,text,14236,text/html,Amended,https://legiscan.com/CA/text/AB4/id/1977210,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB4
1131884,2021454,text,14815,text/html,Amended,https://legiscan.com/CA/text/AB4/id/2021454,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB4
1131977,1827566,text,4552,text/html,Introduced,https://legiscan.com/CA/text/AB5/id/1827566,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB5
1131977,1973941,text,11391,text/html,Amended,https://legiscan.com/CA/text/AB5/id/1973941,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB5
1131977,2008026,text,13231,text/html,Amended,https://legiscan.com/CA/text/AB5/id/2008026,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB5
1131977,2027323,text,20952,text/html,Amended,https://legiscan.com/CA/text/AB5/id/2027323,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB5
