bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1131476,779481,2018-12-03,Assembly,"HR 1 COOLEY",59,20,1,0,80
1131590,779483,2018-12-03,Assembly,"HR 3 RENDON By CALDERON",79,0,1,0,80
1131709,779482,2018-12-03,Assembly,"HR 2 RENDON By CALDERON",79,0,1,0,80
1131832,779484,2018-12-03,Assembly,"SCR 2 Roth By CALDERON",79,0,1,0,80
1131832,779486,2018-12-03,Senate,"W/O REF. TO FILE SCR2 Roth",40,0,0,0,40
1131846,779485,2018-12-03,Senate,"W/O REF. TO FILE SCR1 Wilk",39,0,1,0,40
1131873,788332,2019-01-29,Assembly,"Do pass as amended",28,0,4,0,32
1131873,792405,2019-02-04,Assembly,"AB 73 BUDGET Assembly Third Reading By TING",74,0,6,0,80
1131873,795564,2019-02-07,Senate,"Do pass",15,0,3,0,18
1131873,797409,2019-02-11,Senate,"Assembly 3rd Reading AB73 BUDGET (Ting) By Mitchell",37,0,1,0,38
1131874,836941,2019-04-03,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",20,0,1,0,21
1131874,866391,2019-05-16,Assembly,"Do pass",18,0,0,0,18
1131874,871637,2019-05-23,Assembly,"AB 41 Gallagher Third Reading Urgency",78,0,2,0,80
1131874,887753,2019-06-25,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",16,0,0,0,16
1131874,891984,2019-08-12,Senate,"Placed on suspense file",7,0,0,0,7
1131875,902832,2020-01-14,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",11,0,1,0,12
1131875,905369,2020-01-23,Assembly,"Do pass",18,0,0,0,18
1131875,906429,2020-01-27,Assembly,"AB 70 Berman Assembly Third Reading",78,0,2,0,80
1131875,975364,2020-08-08,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",4,3,2,0,9
1131875,975365,2020-08-08,Senate,"[First] hearing set for [08-10-2020]: Failed passage in Committee. Reconsideration granted",9,0,0,0,9
1131875,975366,2020-08-08,Senate,"Amendments (Committee's)",8,0,1,0,9
1131875,976162,2020-08-19,Senate,"Placed on suspense file",7,0,0,0,7
1131875,976314,2020-08-20,Senate,"Do pass as amended",7,0,0,0,7
1131875,977349,2020-08-28,Senate,"Assembly 3rd Reading AB70 Berman et al. By Hill",39,0,1,0,40
1131875,978109,2020-08-30,Assembly,"AB 70 Berman Concurrence in Senate Amendments",75,0,4,0,79
1131876,809349,2019-02-26,Assembly,"Do pass",4,3,1,0,8
1131876,809350,2019-02-26,Assembly,Reconsideration,8,0,0,0,8
1131876,851683,2019-04-23,Assembly,"Do pass",6,2,0,0,8
