bill_id,people_id,position
660960,10957,1
660960,10971,9
660960,14095,3
660960,14104,5
660960,14107,6
660960,14115,8
660960,14122,10
660960,16282,4
660960,16286,2
660960,16296,7
660961,1495,7
660961,1500,9
660961,1525,10
660961,1552,12
660961,1588,2
660961,11232,4
660961,11609,14
660961,11611,19
660961,11614,11
660961,11616,27
660961,13078,18
660961,14111,20
660961,14112,21
660961,14114,24
660961,14117,5
660961,14123,28
660961,14125,6
660961,16048,1
660961,16279,16
660961,16281,17
660961,16292,3
660961,16295,22
660961,16298,25
660961,16300,26
660961,16302,15
660961,16305,8
660961,16310,13
660961,16316,23
660962,14111,2
660962,14114,3
660962,14134,1
660963,1527,1
660964,10960,1
660964,14097,4
660964,14104,7
660964,14108,3
660964,14112,9
660964,14123,12
660964,16048,14
660964,16094,5
660964,16278,2
660964,16285,6
660964,16293,8
660964,16300,11
660964,16304,13
660964,17428,10
660965,14219,1
660966,1536,20
660966,10957,6
660966,10960,7
660966,10972,21
660966,11920,16
660966,14092,12
660966,14094,8
660966,14096,13
660966,14101,2
660966,14104,14
660966,14110,3
660966,14115,17
660966,14120,19
660966,14121,1
660966,16033,15
660966,16282,9
660966,16285,10
660966,16296,4
660966,16297,18
660966,16301,5
660966,16317,11
660967,1498,5
660967,1502,1
660967,1516,2
660967,1536,7
660967,1590,10
660967,1591,3
660967,1606,13
660967,1610,6
660967,10968,9
660967,10969,11
660967,10972,12
660967,11612,8
660967,16304,4
660968,10973,6
660968,14092,2
660968,14110,4
660968,14120,5
660968,14121,1
660968,16033,3
660968,16304,7
660969,1495,3
660969,1498,1
660969,1548,6
660969,1590,5
660969,1610,4
660969,10969,2
660969,14097,8
660969,14103,9
660969,14112,11
660969,16294,10
660969,16310,7
660971,10959,2
660971,14096,4
660971,14125,3
660971,16282,1
660971,16300,5
660972,1597,1
660973,10959,1
660974,9547,1
660975,1588,5
660975,14098,1
660975,14100,3
660975,14125,4
660975,16281,2
660976,1498,1
660976,1597,2
660976,1610,3
660977,1527,1
660978,14113,1
660979,14097,1
660979,16292,2
660979,16309,3
660980,1548,1
660980,10957,2
660980,14121,3
660982,14104,1
660983,1495,78
660983,1527,79
660983,1552,83
660983,1588,80
660983,1591,81
660983,9547,32
660983,10957,4
660983,10959,6
660983,10965,36
660983,10970,84
660983,10972,86
660983,10973,76
660983,11232,61
660983,11609,3
