bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
737367,464929,2015-07-02,Assembly,"SB 426 Leyva  Consent Calendar Second Day  Regular Session",78,0,0,2,80
737367,465174,2015-07-06,Senate,"Unfinished Business SB426 Leyva Concurrence",37,0,3,0,40
737368,447700,2015-05-13,Assembly,"Do pass as amended",7,0,0,0,7
737368,450083,2015-05-22,Assembly,"AB 715 DALY  Assembly Third Reading",72,3,0,5,80
737368,460658,2015-06-17,Senate,"Do pass as amended",8,0,1,0,9
737368,462944,2015-06-25,Senate,"Assembly 3rd Reading AB715 Daly By Liu",38,0,2,0,40
737368,463836,2015-06-29,Assembly,"AB 715 DALY  Concurrence in Senate Amendments",74,2,0,4,80
737369,434371,2015-04-15,Senate,"Do pass, but re-refer to the Committee on Appropriations",9,0,0,0,9
737369,445246,2015-05-11,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
737369,453709,2015-05-28,Senate,"Do pass as amended",5,1,1,0,7
737369,455940,2015-06-02,Senate,"Senate 3rd Reading SB447 Allen",27,4,9,0,40
737369,465470,2015-07-07,Assembly,"Do pass and be re-referred to the Committee on Appropriations",18,0,0,1,19
737371,440217,2015-04-27,Assembly,"Do pass and be re-referred to the Committee on Local Government",12,1,0,3,16
737371,446273,2015-05-13,Assembly,"Do pass as amended",7,1,0,1,9
737371,455360,2015-06-01,Assembly,"AB 718 CHU  Assembly Third Reading",56,15,0,9,80
737371,465674,2015-07-08,Senate,"Do pass as amended",4,1,2,0,7
737371,475317,2015-08-31,Senate,"Assembly 3rd Reading AB718 Chu By Hueso",18,14,8,0,40
737371,475318,2015-08-31,Senate,"Assembly 3rd Reading AB718 Chu By Hueso",40,0,0,0,40
737372,435153,2015-04-20,Senate,"Do pass, but re-refer to the Committee on Health",9,0,0,0,9
737372,442118,2015-04-29,Senate,"Do pass as amended, and re-refer to the Committee on Appropriations",9,0,0,0,9
737372,453746,2015-05-28,Senate,"Do pass",7,0,0,0,7
737372,455320,2015-06-01,Senate,"Senate 3rd Reading SB396 Hill",40,0,0,0,40
737372,463565,2015-05-18,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
737372,466237,2015-07-15,Assembly,"Do pass, to Consent Calendar",16,0,0,1,17
737372,473952,2015-08-20,Assembly,"SB 396 Hill  Consent Calendar Second Day  Regular Session",79,0,0,1,80
737372,474297,2015-08-27,Senate,"Special Consent #7 SB396 Hill",40,0,0,0,40
737373,437131,2015-04-22,Assembly,"Do pass and be re-referred to the Committee on Appropriations",20,0,0,1,21
737373,441080,2015-04-29,Assembly,"Do pass, to Consent Calendar",17,0,0,0,17
737373,445124,2015-05-11,Assembly,"AB 774 LEVINE  Assembly Third Reading",79,0,0,1,80
737373,458314,2015-06-09,Senate,"Do pass, but re-refer to the Committee on Appropriations",13,0,0,0,13
737373,462974,2015-06-25,Senate,"Assembly 3rd Reading AB774 Levine By Hall",37,0,3,0,40
737373,463883,2015-06-29,Assembly,"AB 774 LEVINE  Concurrence in Senate Amendments",77,0,0,3,80
737376,439993,2015-04-28,Senate,"Do pass as amended, and re-refer to the Committee on Appropriations",6,1,0,0,7
737377,440916,2015-04-29,Senate,"Do pass, but re-refer to the Committee on Appropriations Recommend 	Consent",7,0,2,0,9
737377,463589,2015-05-18,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
737379,431613,2015-04-13,Assembly,"Do pass and be re-referred to the Committee on Appropriations",6,3,0,0,9
737380,440207,2015-04-27,Senate,"Do pass, but re-refer to the Committee on Appropriations",9,0,0,0,9
737380,445227,2015-05-11,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
737380,453829,2015-05-28,Senate,"Do pass",7,0,0,0,7
737380,455415,2015-06-01,Senate,"Senate 3rd Reading SB467 Hill",40,0,0,0,40
737380,465489,2015-07-07,Assembly,"Do pass and be re-referred to the Committee on Appropriations",13,1,0,0,14
737380,474440,2015-08-27,Assembly,"Do pass as amended",12,0,0,5,17
737380,476026,2015-09-08,Assembly,"SB 467 Hill  Senate Third Reading  By BONILLA",76,0,0,4,80
737380,476350,2015-09-10,Senate,"Unfinished Business SB467 Hill Concurrence",40,0,0,0,40
737381,432528,2015-04-14,Senate,"Do pass as amended. To Consent Calendar",6,0,1,0,7
737381,439507,2015-04-27,Senate,"Consent Calendar 2nd SB470 Jackson",35,0,4,0,39
737381,460542,2015-06-16,Assembly,"Do pass, to Consent Calendar",10,0,0,0,10
737381,465921,2015-07-13,Assembly,"SB 470 Jackson  Senate Third Reading",78,0,0,2,80
737381,466569,2015-07-16,Senate,"Unfinished Business SB470 Jackson Concurrence",37,0,3,0,40
737383,441324,2015-04-28,Assembly,"Do pass",19,0,0,0,19
737383,444455,2015-05-07,Assembly,"AB 724 DODD  Assembly Third Reading",76,0,0,4,80
737383,553563,2016-06-15,Senate,"Do pass, but re-refer to the Committee on Appropriations",7,0,0,0,7
737383,558657,2016-08-01,Senate,"Assembly 3rd Reading AB724 Dodd By Nielsen",39,0,0,0,39
737383,560863,2016-08-23,Assembly,"Senate amendments be concurred in",9,0,0,0,9
737383,561034,2016-08-24,Assembly,"AB 724 DODD  Concurrence in Senate Amendments",79,0,0,1,80
737384,440108,2015-04-28,Senate,"Do pass, but re-refer to the Committee on Appropriations",7,0,0,0,7
737384,445149,2015-05-11,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
737384,453905,2015-05-28,Senate,"Do pass",7,0,0,0,7
737384,455930,2015-06-02,Senate,"Senate 3rd Reading SB424 Pan",35,0,5,0,40
737384,464284,2015-06-30,Assembly,"Do pass and be re-referred to the Committee on Privacy and Consumer 	Protection to Consent Calendar",7,0,0,0,7
737384,466542,2015-07-16,Assembly,"SB 424 Pan  Consent Calendar Second Day  Regular Session",79,0,0,1,80
737384,474173,2015-07-07,Assembly,"Do pass, to Consent Calendar",11,0,0,0,11
737385,440960,2015-04-29,Assembly,"Do pass and be re-referred to the Committee on Appropriations",4,2,0,1,7
737385,448961,2015-05-20,Assembly,"Amend, and re-refer to the Committee on Appropriations",11,0,0,6,17
737385,486298,2016-01-21,Assembly,"Do pass",12,0,0,5,17
737385,488362,2016-01-27,Assembly,"AB 700 GOMEZ  Assembly Third Reading",60,15,0,4,79
737385,554649,2016-06-21,Senate,"Do pass as amended, and re-refer to the Committee on Appropriations",4,1,0,0,5
737385,558807,2016-08-01,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
737385,559529,2016-08-11,Senate,"Do pass as amended",5,2,0,0,7
737385,561544,2016-08-30,Senate,"Assembly 3rd Reading AB700 Gomez By Allen",26,12,1,0,39
737385,561545,2016-08-30,Senate,"Assembly 3rd Reading AB700 Gomez By Allen",27,8,4,0,39
737385,561749,2016-08-31,Senate,"Assembly 3rd Reading AB700 Gomez By Allen",26,11,2,0,39
737387,432739,2015-04-14,Assembly,"Do pass as amended and be re-referred to the Committee on 	Appropriations",14,0,0,0,14
737389,427983,2015-04-07,Assembly,"Do pass as amended and be re-referred to the Committee on Insurance",14,0,0,0,14
737389,437300,2015-04-22,Assembly,"Do pass and be re-referred to the Committee on Appropriations to 	Consent Calendar",12,0,0,1,13
737389,443880,2015-05-06,Assembly,"Do pass, to Consent Calendar",17,0,0,0,17
737389,446691,2015-05-14,Assembly,"AB 764 QUIRK  Consent Calendar Second Day  Regular Session",78,0,0,2,80
737389,460167,2015-06-16,Senate,"Do pass, but re-refer to the Committee on Insurance",10,0,1,0,11
737389,465573,2015-07-08,Senate,"Do pass, but re-refer to the Committee on Appropriations Recommend 	Consent",8,0,1,0,9
737389,476003,2015-09-08,Senate,"Assembly 3rd Reading AB764 Quirk By Mendoza",40,0,0,0,40
737389,476071,2015-09-09,Assembly,"AB 764 QUIRK  Concurrence in Senate Amendments",78,0,0,2,80
737390,432975,2015-04-15,Assembly,"Do pass and be re-referred to the Committee on Appropriations",9,0,0,0,9
737390,453997,2015-05-28,Assembly,"Do pass",17,0,0,0,17
737390,455486,2015-06-01,Assembly,"AB 706 BONILLA  Assembly Third Reading",80,0,0,0,80
737390,473751,2015-08-17,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
737390,474623,2015-08-27,Senate,"Do pass as amended",6,0,1,0,7
737390,475817,2015-09-03,Senate,"Assembly 3rd Reading AB706 Bonilla By Gaines",40,0,0,0,40
737390,475883,2015-09-04,Assembly,"AB 706 BONILLA  Concurrence in Senate Amendments",80,0,0,0,80
737391,446234,2015-05-12,Senate,"Do pass as amended. To Consent Calendar",7,0,0,0,7
737391,450267,2015-05-22,Senate,"Consent Calendar 2nd SB419 McGuire",38,0,1,0,39
737391,466210,2015-07-15,Assembly,"Do pass",7,0,0,0,7
737391,473986,2015-08-20,Assembly,"SB 419 McGuire  Senate Third Reading  By CHAU",79,0,0,1,80
737391,474282,2015-08-27,Senate,"Special Consent #7 SB419 McGuire",40,0,0,0,40
737393,432633,2015-04-15,Assembly,"Do pass and be re-referred to the Committee on Appropriations",9,0,0,0,9
737393,440907,2015-04-29,Assembly,"Do pass, to Consent Calendar",17,0,0,0,17
737393,444454,2015-05-07,Assembly,"AB 728 HADLEY  Consent Calendar Second Day  Regular Session",77,0,0,3,80
737393,458360,2015-06-09,Senate,"Do pass, but re-refer to the Committee on Appropriations Recommend 	Consent",13,0,0,0,13
737393,465814,2015-07-09,Senate,"Consent Calendar 2nd AB728 Hadley",39,0,1,0,40
737393,465914,2015-07-13,Assembly,"AB 728 HADLEY  Concurrence in Senate Amendments",79,0,0,1,80
737393,475503,2015-09-01,Senate,"Assembly 3rd Reading AB728 Hadley By Morrell",40,0,0,0,40
