bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
660996,1052482,text,2021,text/html,Introduced,https://legiscan.com/CA/text/AB1/id/1052482,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_1_bill_20141201_introduced.html
660996,1249379,text,2786,text/html,Amended,https://legiscan.com/CA/text/AB1/id/1249379,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_1_bill_20150616_amended_sen_v98.html
660996,1252698,text,2330,text/html,Enrolled,https://legiscan.com/CA/text/AB1/id/1252698,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_1_bill_20150629_enrolled.html
660996,1255454,text,2427,text/html,Chaptered,https://legiscan.com/CA/text/AB1/id/1255454,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_1_bill_20150713_chaptered.html
660960,1052448,text,2321,text/html,Introduced,https://legiscan.com/CA/text/AB2/id/1052448,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_2_bill_20141201_introduced.html
660960,1188007,text,120808,text/html,Amended,https://legiscan.com/CA/text/AB2/id/1188007,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_2_bill_20150326_amended_asm_v98.html
660960,1249307,text,119726,text/html,Amended,https://legiscan.com/CA/text/AB2/id/1249307,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_2_bill_20150616_amended_sen_v97.html
660960,1254565,text,129300,text/html,Amended,https://legiscan.com/CA/text/AB2/id/1254565,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_2_bill_20150707_amended_sen_v96.html
660960,1261233,text,124353,text/html,Amended,https://legiscan.com/CA/text/AB2/id/1261233,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_2_bill_20150904_amended_sen_v95.html
660960,1262212,text,122601,text/html,Enrolled,https://legiscan.com/CA/text/AB2/id/1262212,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_2_bill_20150914_enrolled.html
660960,1262950,text,122709,text/html,Chaptered,https://legiscan.com/CA/text/AB2/id/1262950,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_2_bill_20150922_chaptered.html
661065,1052550,text,4591,text/html,Introduced,https://legiscan.com/CA/text/AB3/id/1052550,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_3_bill_20141201_introduced.html
661065,1187295,text,20184,text/html,Amended,https://legiscan.com/CA/text/AB3/id/1187295,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_3_bill_20150326_amended_asm_v98.html
661065,1216372,text,19967,text/html,Amended,https://legiscan.com/CA/text/AB3/id/1216372,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_3_bill_20150427_amended_asm_v97.html
661065,1223076,text,25894,text/html,Amended,https://legiscan.com/CA/text/AB3/id/1223076,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_3_bill_20150505_amended_asm_v96.html
661065,1253773,text,14245,text/html,Amended,https://legiscan.com/CA/text/AB3/id/1253773,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_3_bill_20150701_amended_sen_v95.html
661065,1259006,text,18757,text/html,Amended,https://legiscan.com/CA/text/AB3/id/1259006,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_3_bill_20150817_amended_sen_v94.html
661065,1261155,text,19617,text/html,Amended,https://legiscan.com/CA/text/AB3/id/1261155,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_3_bill_20150904_amended_sen_v93.html
661065,1261731,text,18001,text/html,Amended,https://legiscan.com/CA/text/AB3/id/1261731,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_3_bill_20150909_amended_sen_v92.html
661065,1262456,text,17904,text/html,Enrolled,https://legiscan.com/CA/text/AB3/id/1262456,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_3_bill_20150916_enrolled.html
661065,1264897,text,18006,text/html,Chaptered,https://legiscan.com/CA/text/AB3/id/1264897,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_3_bill_20151007_chaptered.html
661052,1052537,text,2792,text/html,Introduced,https://legiscan.com/CA/text/AB4/id/1052537,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_4_bill_20141201_introduced.html
661001,1052487,text,1415,text/html,Introduced,https://legiscan.com/CA/text/AB5/id/1052487,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_5_bill_20141201_introduced.html
661001,1187843,text,6724,text/html,Amended,https://legiscan.com/CA/text/AB5/id/1187843,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_5_bill_20150326_amended_asm_v98.html
661026,1052512,text,4413,text/html,Introduced,https://legiscan.com/CA/text/AB6/id/1052512,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_6_bill_20141201_introduced.html
661043,1052527,text,4881,text/html,Introduced,https://legiscan.com/CA/text/AB7/id/1052527,http://www.leginfo.ca.gov/pub/15-16/bill/asm/ab_0001-0050/ab_7_bill_20141201_introduced.html
