bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
59869,7102,text,5251,text/html,Introduced,https://legiscan.com/CA/text/AB1/id/7102,http://www.leginfo.ca.gov/pub/09-10/bill/asm/ab_0001-0050/ab_1_bill_20081201_introduced.html
59869,7103,text,5048,text/html,Enrolled,https://legiscan.com/CA/text/AB1/id/7103,http://www.leginfo.ca.gov/pub/09-10/bill/asm/ab_0001-0050/ab_1_bill_20090827_enrolled.html
59870,7094,text,77389,text/html,Introduced,https://legiscan.com/CA/text/AB2/id/7094,http://www.leginfo.ca.gov/pub/09-10/bill/asm/ab_0001-0050/ab_2_bill_20081201_introduced.html
59870,7095,text,76687,text/html,Amended,https://legiscan.com/CA/text/AB2/id/7095,http://www.leginfo.ca.gov/pub/09-10/bill/asm/ab_0001-0050/ab_2_bill_20090420_amended_asm_v98.html
59870,7096,text,77320,text/html,Amended,https://legiscan.com/CA/text/AB2/id/7096,http://www.leginfo.ca.gov/pub/09-10/bill/asm/ab_0001-0050/ab_2_bill_20090602_amended_asm_v97.html
59870,7097,text,78494,text/html,Amended,https://legiscan.com/CA/text/AB2/id/7097,http://www.leginfo.ca.gov/pub/09-10/bill/asm/ab_0001-0050/ab_2_bill_20090723_amended_sen_v96.html
59870,7098,text,78818,text/html,Amended,https://legiscan.com/CA/text/AB2/id/7098,http://www.leginfo.ca.gov/pub/09-10/bill/asm/ab_0001-0050/ab_2_bill_20090817_amended_sen_v95.html
59870,7099,text,78621,text/html,Enrolled,https://legiscan.com/CA/text/AB2/id/7099,http://www.leginfo.ca.gov/pub/09-10/bill/asm/ab_0001-0050/ab_2_bill_20090916_enrolled.html
59871,7087,text,7855,text/html,Introduced,https://legiscan.com/CA/text/AB3/id/7087,http://www.leginfo.ca.gov/pub/09-10/bill/asm/ab_0001-0050/ab_3_bill_20081201_introduced.html
59871,7088,text,13069,text/html,Amended,https://legiscan.com/CA/text/AB3/id/7088,http://www.leginfo.ca.gov/pub/09-10/bill/asm/ab_0001-0050/ab_3_bill_20090413_amended_asm_v98.html
