bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
59869,5836,2009-03-18,Assembly,"Do pass",7,3,1,0,11
59869,5837,2009-04-13,Assembly,"AB1 MONNING  Assembly Third Reading",51,28,1,0,80
59869,5838,2009-06-17,Senate,"Do pass",8,1,0,0,9
59869,5839,2009-08-24,Senate,"Assembly 3rd Reading AB1 Monning By Hancock",26,13,1,0,40
59870,5826,2009-04-28,Assembly,"Do pass and be re-referred to the Committee on Appropriations",13,6,0,0,19
59870,5827,2009-05-28,Assembly,"Do pass as amended",12,5,0,0,17
59870,5828,2009-06-03,Assembly,"AB2 DE LA TORRE  Assembly Third Reading",45,26,9,0,80
59870,5829,2009-07-08,Senate,"Do pass, but re-refer to the Committee on Judiciary",6,4,1,0,11
59870,5830,2009-07-14,Senate,"Do pass as amended, and re-refer to the Committee on Appropriations",3,2,0,0,5
59870,5831,2009-08-17,Senate,"Placed on Appropriations Suspense file",13,0,0,0,13
59870,5832,2009-08-27,Senate,"Do pass",7,4,2,0,13
59870,5833,2009-09-08,Senate,"Assembly 3rd Reading AB2 De La Torre By Florez",24,13,3,0,40
59870,5834,2009-09-10,Assembly,"AB2 DE LA TORRE  Concurrence in Senate Amendments",49,26,5,0,80
59871,5817,2009-04-20,Assembly,"Be referred to Committee on Labor and Employment",10,0,1,0,11
59871,5818,2009-04-22,Assembly,"Do pass and be re-referred to the Committee on Appropriations",5,2,0,0,7
59871,5819,2009-05-28,Assembly,"Do pass as amended",12,0,5,0,17
59871,5820,2009-06-03,Assembly,"AB3 PEREZ, V.M.  Assembly Third Reading",52,25,3,0,80
59871,5821,2009-07-08,Senate,"Do pass, but re-refer to the Committee on Appropriations",4,2,0,0,6
59871,5822,2009-08-17,Senate,"Placed on Appropriations Suspense file",13,0,0,0,13
59871,5823,2009-08-27,Senate,"Do pass as amended",8,5,0,0,13
59871,5824,2009-09-09,Senate,"Assembly 3rd Reading AB3 V. Manuel Perez By Price",26,12,2,0,40
59871,5825,2009-09-10,Assembly,"AB3 PEREZ, V.M.  Concurrence in Senate Amendments",55,23,2,0,80
59873,25876,2009-03-03,Assembly,"Do pass, to Consent Calendar",10,0,0,0,10
59873,25877,2009-03-12,Assembly,"AB 5 EVANS  Consent Calendar Second Day",74,0,0,6,80
59873,25878,2009-06-09,Senate,"Do pass and be placed on the Consent Calendar",5,0,0,0,5
59873,25879,2009-06-15,Senate,"Consent Calendar 2nd AB5 Evans",36,0,4,0,40
59874,5812,2009-04-21,Assembly,"Do pass as amended and be re-referred to the Committee on Appropriations",5,2,0,0,7
59874,5813,2009-05-13,Assembly,"Do pass",11,5,0,0,16
59874,5814,2009-05-28,Assembly,"AB6 SALDANA  Assembly Third Reading",49,28,3,0,80
59874,5815,2009-07-07,Senate,"Do pass, but re-refer to the Committee on Appropriations",3,2,0,0,5
59874,5816,2009-08-31,Senate,"Assembly 3rd Reading AB6 Saldana By Corbett",21,15,4,0,40
59875,4043,2009-04-30,Assembly,"Do pass as amended and be re-referred to the Committee on Appropriations",6,0,1,0,7
59875,4044,2009-05-20,Assembly,"Do pass",12,2,2,0,16
59875,4045,2009-06-02,Assembly,"AB7 KREKORIAN  Assembly Third Reading",61,15,4,0,80
59875,4046,2009-07-07,Senate,"Do pass as amended, and re-refer to the Committee on Appropriations",3,2,0,0,5
59875,4047,2010-05-05,Senate,"Do pass as amended",5,1,2,0,8
59876,5804,2009-04-01,Assembly,"Do pass and re-refer to Committee on Appropriations with recommendation:  To Consent Calendar",11,0,0,0,11
59876,5805,2009-05-28,Assembly,"Do pass as amended",17,0,0,0,17
59876,5806,2009-06-02,Assembly,"AB8 BROWNLEY  Assembly Third Reading",78,0,2,0,80
59876,5807,2009-07-15,Senate,"Do pass as amended, and re-refer to the Committee on Appropriations",8,0,1,0,9
59876,5808,2009-08-17,Senate,"Placed on Appropriations Suspense file",13,0,0,0,13
59876,5809,2009-08-27,Senate,"Do pass",10,3,0,0,13
59876,5810,2009-09-09,Senate,"Assembly 3rd Reading AB8 Brownley By Hancock",31,6,3,0,40
59876,5811,2009-09-10,Assembly,"AB8 Brownley  Concurrence in Senate Amendments",79,0,1,0,80
59877,25322,2009-05-05,Assembly,"Do pass",6,0,0,1,7
59877,25323,2009-05-18,Assembly,"AB9 PEREZ, J.  Assembly Third Reading",72,3,0,5,80
59877,25324,2009-07-07,Senate,"Do pass, but re-refer to the Committee on Appropriations",5,0,0,0,5
59877,25325,2009-09-03,Senate,"Assembly 3rd Reading AB9 John A. Perez By DeSaulnier",38,0,2,0,40
59877,25326,2009-09-11,Assembly,"AB9 PEREZ, J.  Concurrence in Senate Amendments",78,1,0,0,79
59878,5802,2009-05-05,Assembly,"Do pass",2,3,2,0,7
59878,5803,2009-05-05,Assembly,"Set first hearing.  Failed passage.  Reconsideration granted",6,0,1,0,7
59879,25362,2009-04-13,Assembly,"Do pass as amended",8,0,0,1,9
59879,25363,2009-04-30,Assembly,"AB 11 DE LEON  Assembly Third Reading",75,0,0,5,80
59879,25364,2009-07-08,Senate,"Do pass as amended",6,0,2,0,8
59879,25365,2009-08-27,Senate,"Assembly 3rd Reading AB11 De Leon Urgency Clause",38,0,2,0,40
59879,25366,2009-08-31,Assembly,"AB 11 DE LEON  Concurrence in Senate Amendments",77,0,0,2,79
59880,2897,2009-04-14,Assembly,"Do pass and be re-referred to the Committee on Appropriations",5,0,2,0,7
59880,2898,2010-01-21,Assembly,"Do pass as amended",13,4,0,0,17
59880,2899,2010-01-27,Assembly,"AB 12 BEALL  Assembly Third Reading",72,0,6,0,78
